"Identificador de URL";Nombre;Categorías;Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en mi tienda en línea";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
398;"Yeso Piedra Amarillo ELITE 1kg";YESOS;5,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
316-1;"Yeso Extraduro Tipo IV Velmix Stone";YESOS;6,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;NO;;;;
40;"Yeso Extraduro";YESOS;5,000.00;;0.00;0.00;0.00;0.00;15;;;SÍ;NO;;;;;;SÍ;;;;
39-1;"Yeso Duro Marca Moldastone M&M";YESOS;4,500.00;;0.00;0.00;0.00;0.00;4;;;SÍ;NO;;;;;;SÍ;;;;
420-3;"Cono Papel #15 Gapadent";YESOS;3,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
416;"Sellante de Fotocurado 3M ESPE CONCISE";RESINA;26,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
177;"Sellador Permaseal. Ultradent";RESINA;23,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297-5;"Resina Harmonize Kerr A3E 4mg";RESINA;33,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297-3;"Resina Harmonize Kerr A3D 4mg.";RESINA;33,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297-4;"Resina Harmonize Kerr A3,5D 4mg";RESINA;32,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297-2;"Resina Harmonize Kerr A2D 4mg.";RESINA;33,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
297;"Resina Harmonize A2E. Kerr";RESINA;33,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
148-4;"Resina Forma Zirconia Opaquer. Ultradent";RESINA;29,590.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
148-9;"Resina Fluida Prime Dental 2G A3";RESINA;8,900.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
148-3;"Resina Fluida I-Flow A3";RESINA;11,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
